,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
654,0.0,0.19,0.0425,0.055,0.04,0.0,0.002,0.04,0.01,0.0,0.0175
655,0.01,0.04733333333333333,0.10238095238095238,0.13583333333333333,0.05,0.04,0.01,0.025,0.01,0.0,0.0
656,0.0,0.0325,0.085,0.03,0.17,0.06,0.0,0.0,0.03,0.08,0.0
657,0.0,0.05,0.08,0.03,0.38,0.015,0.0,0.04,0.0,0.13,0.0
658,0.03,0.03,0.09,0.04666666666666666,0.04,0.08,0.0,0.02,0.0,0.01,0.05
659,0.05,0.04666666666666666,0.16333333333333336,0.06666666666666667,0.04,0.08,0.0,0.02,0.02,0.05,0.03
660,0.01,0.02,0.03,0.01,0.06,0.03,0.0,0.0,0.33,0.0,0.0
661,0.0,0.02,0.01,0.43,0.07,0.21,0.0,0.0,0.0,0.0,0.0
662,0.01,0.04,0.11,0.07333333333333333,0.05,0.05,0.05,0.05833333333333333,0.03,0.0,0.02
663,0.0,0.055999999999999994,0.07400000000000001,0.04,0.02,0.01,0.0,0.0,0.03,0.02,0.01
664,0.0,0.02,0.045,0.0,0.67,0.63,0.0,0.0,0.0,0.0,0.0
665,0.0,0.11199999999999999,0.02,0.03,0.07,0.0,0.0,0.04,0.03,0.0,0.0
666,0.01,0.03333333333333333,0.1025,0.09666666666666668,0.04,0.01,0.0,0.01,0.0,0.01,0.0
667,0.03333333333333333,0.05,0.24,0.13,0.1551190476190476,0.0,0.04833333333333334,0.055,0.04,0.01,0.07
668,0.02,0.0675,0.1416666666666667,0.06166666666666666,0.01,0.02,0.02,0.0,0.02,0.0,0.0
669,0.02,0.03,0.12666666666666665,0.14,0.05,0.02,0.0,0.02,0.02,0.03,0.025
670,0.0,0.01,0.05,0.03333333333333333,0.02,0.02,0.03,0.02,0.0,0.0,0.0
671,0.03,0.06,0.155,0.06633333333333333,0.01,0.02,0.03,0.02,0.05,0.01,0.02
672,0.03,0.095,0.13,0.10766666666666666,0.06,0.08,0.03,0.01,0.0,0.0,0.0
673,0.01,0.02333333333333333,0.33,0.006190476190476191,0.06,0.01,0.0,0.0,0.0,0.01,0.01
674,0.02,0.02,0.026666666666666665,0.04,0.05,0.03,0.0,0.0,0.0,0.01,0.07333333333333333
675,0.0,0.0,0.56,0.01,0.71,0.64,0.03,0.0,0.0,0.0,0.0
676,0.0,0.01,0.02,0.045,0.02,0.0,0.0025,0.0,0.9,0.0,0.0
677,0.19,0.1,0.03,0.11,0.1,0.01,0.002,0.02,0.03,0.05,0.02
678,0.0,0.03666666666666667,0.23666666666666664,0.05,0.04,0.02,0.01,0.01,0.0,0.01,0.0
679,0.0,0.17133333333333334,0.25,0.12,0.06,0.12,0.0,0.05,0.0,0.0,0.0
680,0.0,0.01,0.13,0.05,0.04333333333333333,0.03,0.0,0.0325,0.03,0.03,0.0
681,0.006666666666666666,0.01,0.08,0.03666666666666667,0.06,0.056666666666666664,0.01,0.01,0.0,0.01,0.01
682,0.0,0.20250000000000004,0.02,0.17,0.0,0.0,0.0,0.0,0.01,0.0,0.0
683,0.0,0.08,0.05,0.07,0.13,0.06,0.0,0.02,0.0,0.0,0.0
684,0.0,0.026666666666666665,0.03,0.04,0.05,0.07,0.01,0.01,0.0,0.01,0.02
685,0.03,0.05,0.09,0.065,0.0525,0.01,0.015,0.0,0.02,0.03,0.02
686,0.0,0.0,0.01,0.05,0.02,0.02,0.0,0.0,0.0,0.0,0.0
687,0.02,0.01,0.005833333333333333,0.013333333333333332,0.0,0.0,0.0,0.0,0.94,0.0,0.0
688,0.01,0.19,0.19833333333333336,0.13666666666666666,0.05,0.0675,0.01,0.035,0.0,0.01,0.0
689,0.013333333333333332,0.013333333333333332,0.04,0.05,0.05,0.05,0.0,0.0,0.21,0.02,0.03
690,0.02,0.08666666666666668,0.09,0.02,0.04,0.065,0.0,0.025,0.02,0.0,0.04
691,0.0,0.0,0.0,0.05,0.1,0.04,0.0,0.026666666666666665,0.0,0.01,0.0
692,0.003333333333333333,0.0,0.04,0.02,0.06,0.08,0.01,0.01,0.04,0.0,0.01
693,0.02,0.1475,0.06,0.07,0.04,0.025,0.0,0.0,0.01,0.0,0.0
694,0.01,0.04,0.05,0.065,0.08,0.095,0.01,0.02,0.05,0.02,0.06
695,0.0,0.01,0.03,0.02,0.03,0.075,0.0,0.03,0.0,0.0,0.02
696,0.04,0.0575,0.095,0.10833333333333334,0.14,0.075,0.02,0.02,0.03,0.0,0.06
697,0.04,0.035,0.12666666666666665,0.154,0.09666666666666668,0.05,0.01,0.01,0.03,0.01,0.06
698,0.0,0.04,0.41666666666666663,0.030833333333333334,0.36,0.03,0.0,0.03,0.01,0.01,0.02
699,0.0,0.02,0.18,0.0675,0.08,0.03,0.02,0.01,0.01,0.0,0.01
700,0.01,0.0,0.02,0.07,0.16,0.19,0.0,0.0,0.0,0.0,0.0
701,0.0,0.0,0.0,0.0,0.1,0.045,0.0,0.0,0.0,0.0,0.0
702,0.01,0.02,0.135,0.0425,0.105,0.12666666666666668,0.05,0.03666666666666667,0.02,0.0,0.08
703,0.01,0.02,0.02,0.025,0.06,0.02,0.0,0.01,0.01,0.02,0.01
704,0.02,0.01,0.02,0.04333333333333334,0.03,0.0,0.0,0.02,0.0,0.0,0.02
705,0.01,0.05,0.14666666666666667,0.185,0.06666666666666667,0.04,0.03,0.05333333333333333,0.04,0.0,0.01
706,0.02,0.055,0.02,0.06,0.09,0.045,0.02,0.0,0.02,0.01,0.01
707,0.0,0.0,0.09,0.01,0.0,0.0,0.006666666666666666,0.01,0.01,0.01,0.01
708,0.0,0.03333333333333333,0.185,0.1,0.085,0.03,0.0,0.0,0.04,0.0,0.0
709,0.0,0.03,0.13583333333333333,0.075,0.016,0.01,0.0,0.03,0.0,0.0,0.011666666666666667
710,0.0,0.01,0.01,0.02,0.06,0.03,0.0,0.03,0.0,0.0,0.0
711,0.0,0.17666666666666667,0.05,0.3325,0.04,0.03333333333333333,0.0,0.02,0.03,0.01,0.03
712,0.0,0.0,0.02,0.04,0.06,0.05,0.01,0.0,0.0,0.01,0.0
713,0.01,0.045,0.085,0.0375,0.08,0.08666666666666668,0.0,0.0,0.0,0.0,0.0
714,0.0,0.04,0.04,0.05,0.065,0.02,0.02,0.03,0.0,0.0,0.0
715,0.17942857142857144,0.11933333333333332,0.07666666666666666,0.257,0.03,0.025,0.0,0.02,0.0,0.01,0.0
716,0.025,0.0,0.075,0.055,0.2998333333333333,0.03333333333333333,0.01,0.02,0.0,0.0,0.02
717,0.0,0.0,0.04,0.02,0.04,0.12,0.0,0.0,0.0,0.0,0.0
718,0.0,0.0,0.02,0.0,0.07,0.03,0.0,0.01,0.0,0.0,0.0
719,0.0,0.0,0.02,0.0,0.09,0.02,0.0,0.01,0.0,0.0,0.0
720,0.0,0.02,0.02,0.025,0.04,0.03,0.0,0.02,0.0,0.0,0.01
721,0.04,0.02,0.14,0.16455555555555557,0.06,0.09,0.13416666666666666,0.01,0.0,0.0,0.01
722,0.0,0.03,0.28,0.04,0.04,0.045,0.01,0.01,0.01,0.0,0.0
723,0.01,0.02,0.06,0.02,0.085,0.04,0.0,0.0,0.0,0.0,0.0
724,0.0,0.034,0.04,0.02333333333333333,0.03,0.02,0.0,0.02,0.01,0.01,0.01
725,0.0,0.035,0.08,0.06,0.02,0.02,0.0,0.01,0.0,0.0,0.0
726,0.015,0.0225,0.07,0.0175,0.06904761904761905,0.04,0.08,0.06,0.02,0.01,0.01
727,0.0,0.03266666666666666,0.04,0.4456666666666667,0.0925,0.04,0.01,0.3452500000000001,0.01,0.0,0.01
728,0.02,0.01,0.01,0.05,0.01,0.0,0.0,0.01,0.9,0.0,0.0
729,0.0,0.02,0.04,0.055,0.075,0.03,0.08,0.02,0.01,0.01,0.0
730,0.0,0.055999999999999994,0.10666666666666666,0.01,0.04,0.04,0.02,0.01,0.0,0.0,0.0
731,0.0,0.01,0.27,0.015,0.205,0.09,0.0,0.0,0.0,0.02,0.0
732,0.04,0.08,0.09,0.15100000000000002,0.065,0.07,0.03,0.02,0.02,0.0,0.05
733,0.04,0.03,0.08,0.076,0.035,0.03,0.03,0.0,0.03,0.0,0.0
734,0.0,0.055,0.4,0.33399999999999996,0.04,0.0225,0.0,0.03,0.01,0.0,0.02
735,0.02,0.01,0.1,0.01,0.055,0.04,0.01,0.01,0.03,0.0,0.09
736,0.01,0.01,0.04,0.07333333333333333,0.02,0.04,0.0,0.0,0.04,0.01,0.0
737,0.0,0.03,0.1,0.05,0.026666666666666665,0.05,0.0,0.07,0.0,0.01,0.02
738,0.01,0.003333333333333333,0.05,0.02,0.08,0.03,0.0,0.0,0.0,0.0,0.01
739,0.0,0.0,0.11,0.0,0.09,0.03,0.01,0.0,0.0,0.0,0.0
740,0.0,0.03,0.075,0.0875,0.2,0.085,0.0,0.06,0.0,0.0,0.0
741,0.01,0.01,0.06,0.02,0.03,0.0,0.0,0.0,0.0,0.01,0.0
742,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.01,0.0,0.0
743,0.04,0.02,0.1,0.04,0.1,0.09,0.0,0.02,0.0,0.02,0.0
744,0.0,0.01,0.06666666666666667,0.02,0.23,0.12,0.0,0.01,0.0,0.02,0.01
745,0.0,0.02,0.01,0.02,0.01,0.02,0.0,0.02,0.0,0.0,0.0
746,0.01,0.03,0.19,0.12,0.05,0.03,0.0,0.0,0.01,0.0,0.0
747,0.0,0.01,0.02,0.02,0.3375,0.17,0.0,0.0,0.0,0.0,0.0
748,0.026666666666666665,0.075,0.035,0.05,0.02,0.03,0.0,0.01,0.01,0.0,0.0
749,0.0,0.0,0.01,0.0,0.03,0.02,0.0,0.0,0.0,0.01,0.0
750,0.0,0.0,0.01,0.03,0.04,0.15,0.0,0.01,0.0,0.0,0.0
751,0.01,0.0375,0.05,0.02,0.05,0.04,0.01,0.01,0.07,0.0,0.0
752,0.0,0.006666666666666666,0.1,0.05566666666666666,0.09666666666666668,0.16666666666666669,0.01,0.0,0.01,0.0,0.01
753,0.0,0.0,0.03,0.0,0.02,0.01,0.0,0.01,0.0,0.0,0.01
754,0.0,0.1325,0.37666666666666665,0.08,0.19,0.04,0.02,0.02,0.02,0.02,0.01
755,0.0,0.03,0.01,0.03333333333333333,0.0,0.0,0.0,0.0,0.59,0.0,0.0
756,0.004,0.11,0.1,0.0775,0.09285714285714286,0.05,0.022000000000000002,0.03,0.06,0.0,0.02
757,0.0,0.01,0.08,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0
758,0.01,0.006666666666666666,0.08,0.03,0.07,0.0,0.02,0.02,0.63,0.0,0.01
759,0.02,0.07333333333333333,0.09238095238095237,0.16583333333333333,0.06,0.06166666666666666,0.01,0.025,0.0,0.0,0.04
760,0.02,0.12,0.1,0.30999999999999994,0.1,0.03,0.005,0.04,0.04,0.0,0.0125
761,0.0,0.07,0.225,0.03,0.02,0.0,0.0,0.02,0.0,0.0,0.0
762,0.0,0.1705,0.01,0.06,0.05,0.1,0.01,0.0,0.0,0.0,0.0
763,0.0,0.015,0.03,0.0,0.28,0.27,0.0,0.02,0.02,0.0,0.0
764,0.0,0.0,0.17,0.005,0.28,0.11,0.0,0.01,0.0,0.0,0.0
765,0.0,0.0,0.01,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
766,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.99,0.0,0.01
767,0.04,0.1,0.07,0.06,0.1,0.0425,0.01,0.02,0.04,0.04,0.05
768,0.03,0.11333333333333334,0.135,0.066,0.16,0.0725,0.01,0.01,0.04,0.0,0.02
769,0.0,0.1,0.02,0.095,0.18,0.1,0.0,0.0,0.0,0.0,0.0
770,0.003333333333333333,0.0,0.02,0.01,0.0,0.0,0.005,0.02,0.81,0.02,0.0
771,0.0,0.03,0.67,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.013333333333333332
772,0.0,0.013999999999999999,0.18723809523809526,0.02,0.05,0.05083333333333333,0.0,0.01,0.0,0.0,0.0
773,0.02,0.03583333333333333,0.07,0.08333333333333331,0.08166666666666668,0.06333333333333332,0.02,0.02,0.02,0.03,0.01
774,0.01,0.01,0.125,0.02,0.165,0.08,0.02,0.0,0.0,0.0,0.01
775,0.0,0.0,0.03,0.03307692307692307,0.275,0.24,0.0,0.01,0.01,0.03,0.0
776,0.01,0.18,0.2,0.25,0.1,0.02,0.0,0.22,0.0,0.0,0.0
777,0.0,0.030952380952380953,0.07,0.03,0.1,0.01,0.01,0.012,0.04,0.0,0.02
778,0.0,0.035,0.01,0.025,0.06,0.005,0.0,0.03,0.02,0.01,0.04
779,0.0,0.0,0.0,0.0,0.9323850034834904,0.0,0.0,0.0,0.0,0.0,0.0
780,0.0,0.0,0.04,0.0,0.15,0.07,0.01,0.0,0.0,0.0,0.0
781,0.01,0.03,0.205,0.028333333333333332,0.02,0.02,0.01,0.02,0.0,0.0,0.0
782,0.02,0.035,0.11,0.05,0.1125,0.04,0.01,0.05,0.03,0.01,0.01
783,0.0,0.08,0.13,0.05333333333333334,0.04,0.09,0.02,0.0,0.0,0.0,0.0
784,0.01,0.0,0.07,0.01,0.03,0.0,0.01,0.0,0.01,0.0,0.0
785,0.07,0.0375,0.13,0.08,0.07333333333333333,0.11,0.02,0.03,0.08,0.0,0.03
786,0.02,0.02,0.14,0.07666666666666667,0.105,0.07,0.02,0.03,0.01,0.04,0.02
787,0.0,0.0,0.01,0.0,0.34,0.02,0.0,0.0,0.0,0.0,0.0
788,0.0,0.0,0.03,0.06,0.23,0.25,0.0,0.0,0.0,0.01,0.0
789,0.0225,0.04,0.15083333333333332,0.02,0.15,0.04,0.0,0.03,0.02,0.01,0.03
790,0.0,0.01,0.01,0.02,0.17,0.1,0.0,0.12,0.0,0.0,0.0
791,0.02,0.04333333333333333,0.08666666666666668,0.07,0.05333333333333334,0.016666666666666666,0.02,0.02,0.54,0.02,0.07
792,0.03,0.023333333333333334,0.35,0.02,0.05,0.02,0.0,0.01,0.01,0.0,0.02
793,0.0,0.03,0.055,0.01,0.14,0.03,0.0,0.0,0.02,0.01,0.0
794,0.044000000000000004,0.035,0.09666666666666668,0.47,0.135,0.04,0.01,0.55,0.06,0.02,0.03
795,0.0,0.1,0.08,0.045,0.15,0.24,0.0,0.02,0.0,0.02,0.0
796,0.0,0.09166666666666666,0.03,0.05428571428571429,0.04,0.02,0.03,0.01,0.0,0.0,0.0
797,0.0,0.0,0.095,0.03,0.04,0.01,0.0,0.01,0.0,0.0,0.0
798,0.0,0.01,0.04,0.03166666666666666,0.06,0.03,0.006666666666666666,0.02333333333333333,0.04,0.0,0.03
799,0.0,0.04166666666666666,0.14400000000000002,0.028999999999999998,0.26,0.01,0.0,0.01,0.01,0.0,0.01
800,0.01,0.069,0.09,0.11366666666666665,0.11,0.09,0.01,0.02,0.08,0.04,0.01
801,0.03,0.034,0.1,0.17666666666666667,0.055,0.056666666666666664,0.0,0.02,0.1,0.01,0.04
802,0.0,0.0,0.0,0.0,0.11833333333333332,0.01,0.0,0.0,0.0,0.0,0.0
803,0.0,0.0,0.02,0.01,0.02,0.01,0.0,0.01,0.0,0.0,0.01
804,0.01,0.01,0.05,0.0,0.095,0.08,0.0,0.0,0.0,0.0,0.0
805,0.0075,0.01,0.04,0.01,0.02,0.0,0.01,0.0,0.0,0.08,0.0
806,0.0,0.032,0.07,0.02,0.04,0.0325,0.02,0.03,0.01,0.0,0.01
807,0.0,0.03,0.255,0.07,0.04666666666666666,0.03,0.0,0.06,0.02,0.0,0.01
808,0.025,0.0825,0.17,0.0775,0.08,0.065,0.01,0.0325,0.01,0.0,0.02
809,0.0,0.04,0.08333333333333334,0.055,0.02,0.015,0.0,0.01,0.0,0.02,0.0
810,0.0,0.03,0.18,0.02,0.05,0.02,0.0,0.0,0.0,0.02,0.0
811,0.06,0.04083333333333333,0.135,0.13291666666666666,0.09,0.04,0.07083333333333333,0.06166666666666667,0.07,0.01,0.0
812,0.04,0.15,0.0825,0.20166666666666663,0.07,0.02,0.02,0.03,0.04,0.0,0.04
813,0.0,0.06,0.09,0.08,0.08,0.02,0.02,0.01,0.01,0.0,0.02
814,0.0,0.01,0.03,0.0,0.13,0.09,0.0,0.0,0.0,0.0,0.0
815,0.0,0.02,0.005,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0
816,0.0,0.0,0.02,0.01,0.065,0.1,0.0,0.01,0.0,0.0,0.0
817,0.0,0.04,0.02,0.015,0.11,0.01,0.0,0.0,0.0,0.0,0.01
818,0.02,0.03,0.08,0.054000000000000006,0.1,0.04,0.0,0.025,0.0,0.0,0.0
819,0.0,0.01,0.02,0.01,0.36,0.11,0.01,0.01,0.0,0.0,0.0
820,0.0,0.0,0.01,0.0,0.09333333333333334,0.04,0.0,0.0,0.0,0.0,0.0
821,0.04,0.075,0.03333333333333333,0.244,0.0,0.03,0.013333333333333332,0.016666666666666666,0.02,0.0,0.02
822,0.02,0.06,0.0635,0.071,0.05,0.03,0.025,0.0,0.03,0.0,0.01
823,0.0,0.0,0.06,0.04,0.15,0.11,0.0,0.0,0.0,0.0,0.0
824,0.026666666666666665,0.0925,0.02,0.04,0.01,0.02,0.0,0.0,0.01,0.0,0.0
825,0.0,0.03,0.13,0.03,0.15,0.08333333333333331,0.02,0.0,0.0,0.0,0.0
826,0.0,0.15483333333333332,0.02,0.02,0.17666666666666667,0.06,0.01,0.01,0.01,0.0,0.0
827,0.01,0.11666666666666665,0.055,0.1716666666666667,0.05,0.03,0.0,0.02333333333333333,0.02,0.04,0.01
828,0.02,0.015,0.2316666666666667,0.09,0.06,0.0,0.0,0.025,0.03,0.0,0.011666666666666667
829,0.0,0.0,0.085,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0
830,0.0,0.0,0.02,0.0,0.05,0.085,0.0,0.0,0.0,0.0,0.0
831,0.01,0.01,0.032,0.02,0.14,0.09,0.0,0.02,0.0,0.0,0.0
832,0.0,0.03,0.03,0.02,0.05,0.02,0.03,0.02,0.01,0.01,0.0
833,0.01,0.026000000000000002,0.1,0.045,0.07,0.035,0.02,0.03,0.03,0.01,0.02
834,0.01,0.03333333333333333,0.0825,0.06666666666666667,0.09,0.01,0.01,0.025,0.02,0.05,0.04
835,0.01,0.05,0.005,0.06,0.51,0.15,0.02,0.02,0.0,0.0,0.0
836,0.0,0.02,0.06,0.04,0.006666666666666666,0.02,0.0,0.01,0.0,0.02,0.0
837,0.0,0.02,0.07,0.14,0.23,0.1,0.01,0.02,0.0,0.0,0.0
838,0.05,0.01,0.12,0.09733333333333334,0.085,0.02,0.008,0.02,0.01,0.01,0.01
839,0.01,0.06,0.03333333333333333,0.07400000000000001,0.09,0.08,0.02,0.003333333333333333,0.02,0.0,0.0
840,0.0,0.01,0.08,0.02,0.24,0.24,0.01,0.0,0.0,0.0,0.01
841,0.02,0.10333333333333332,0.225,0.17833333333333332,0.17,0.04666666666666666,0.01,0.06,0.01,0.01,0.02
842,0.0,0.04,0.11,0.0675,0.1625,0.15433333333333332,0.01,0.01,0.02,0.0,0.01
843,0.01,0.005,0.06,0.07200000000000001,0.36,0.03,0.04,0.005,0.02,0.01,0.015
844,0.03,0.0175,0.165,0.10083333333333332,0.045,0.10333333333333332,0.01,0.02,0.06,0.0,0.0
845,0.04,0.0,0.24733333333333335,0.06666666666666667,0.04333333333333333,0.02,0.01,0.0,0.01,0.0,0.03
846,0.0,0.03,0.015,0.05,0.01,0.04,0.0,0.0,0.01,0.0,0.0
847,0.0,0.0,0.01,0.035,0.38,0.09,0.0,0.04,0.0,0.0,0.0
848,0.01,0.016666666666666666,0.085,0.019999999999999997,0.095,0.05,0.02,0.0,0.01,0.0,0.02
849,0.0,0.04,0.18333333333333335,0.028333333333333332,0.01,0.003333333333333333,0.0,0.03,0.02,0.0,0.04
850,0.01,0.0,0.01,0.035,0.42,0.04,0.026666666666666665,0.02,0.01,0.0,0.0
851,0.01,0.026666666666666665,0.04,0.03,0.15,0.13,0.0,0.02,0.0,0.01,0.0
852,0.025,0.0875,0.19071428571428573,0.095,0.06066666666666667,0.06,0.0,0.03,0.02,0.03,0.04
853,0.02,0.04,0.14,0.079,0.07,0.06,0.003333333333333333,0.04,0.0,0.0,0.03
854,0.0,0.04,0.04,0.11,0.04916666666666667,0.17,0.01,0.02,0.01,0.0,0.0
855,0.0,0.0,0.145,0.01,0.07,0.006,0.02,0.02,0.0,0.0,0.04
856,0.0,0.09,0.06,0.08199999999999999,0.025,0.56,0.0,0.01,0.0,0.0,0.0
857,0.02,0.1,0.01,0.05,0.02,0.01,0.0,0.0,0.01,0.0,0.0
858,0.0,0.0,0.0,0.44816666666666655,0.016666666666666666,0.01,0.0,0.0,0.0,0.0,0.01
859,0.0,0.025,0.03,0.06,0.02,0.01,0.0,0.0,0.0,0.03,0.0
860,0.0,0.03,0.067,0.056666666666666664,0.013999999999999999,0.05,0.0,0.05,0.07,0.01,0.03666666666666667
861,0.0,0.035,0.03,0.0275,0.0,0.0,0.0,0.01,0.9,0.0,0.0
862,0.0,0.16,0.07,0.2,0.0,0.0,0.04,0.02,0.0,0.0,0.0
863,0.01,0.0,0.02,0.0,0.0,0.02,0.01,0.0,0.81,0.0,0.01
864,0.018333333333333333,0.06333333333333332,0.15333333333333335,0.08,0.04,0.01,0.02,0.02333333333333333,0.03,0.0,0.05
865,0.01,0.03,0.0,0.12333333333333334,0.02,0.02,0.0,0.003333333333333333,0.01,0.01,0.0
866,0.0,0.02,0.18,0.02,0.04,0.04,0.0,0.03,0.0,0.0,0.01
867,0.0,0.04,0.22,0.015,0.10666666666666666,0.05,0.0,0.01,0.09,0.02,0.0
868,0.0,0.03,0.07,0.37,0.06,0.03,0.0,0.0,0.01,0.0,0.0
869,0.01,0.02,0.07,0.03,0.11,0.05,0.01,0.0,0.0,0.0,0.0
870,0.01,0.01,0.0325,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
871,0.0,0.01,0.0,0.03,0.03,0.02,0.56,0.0,0.0,0.01,0.0
872,0.0,0.006666666666666666,0.07,0.015,0.0,0.03,0.0,0.0,0.0,0.0,0.0
873,0.06,0.04,0.14,0.035,0.035,0.01,0.01,0.02,0.02,0.0,0.03
874,0.0,0.01,0.02,0.05,0.1,0.09,0.0,0.0,0.0,0.0,0.0
875,0.01,0.02,0.09,0.05,0.06,0.23,0.0,0.0,0.0,0.0,0.0
876,0.03,0.02,0.12,0.03,0.0,0.05,0.01,0.02,0.92,0.01,0.01
877,0.0,0.0435,0.7983333333333333,0.20416666666666664,0.06083333333333333,0.013333333333333332,0.0,0.01,0.02,0.01,0.005
878,0.01,0.01,0.006999999999999999,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.006666666666666666
879,0.02,0.065,0.2383333333333333,0.065,0.05,0.06,0.02,0.0,0.01,0.01,0.0
880,0.0,0.02,0.0,0.026666666666666665,0.28,0.06,0.0,0.0,0.0,0.0,0.0
881,0.0,0.03,0.01,0.065,0.07333333333333333,0.04,0.01,0.0,0.01,0.02,0.035
882,0.02,0.02,0.08,0.03,0.08,0.0525,0.03,0.03,0.0,0.05,0.03333333333333333
883,0.04,0.0225,0.155,0.065,0.02,0.04,0.01,0.04,0.07,0.01,0.04
884,0.0,0.02,0.01,0.026000000000000002,0.01,0.0,0.0,0.006666666666666666,0.51,0.0,0.0
885,0.0,0.03,0.03333333333333333,0.01125,0.05,0.01,0.01,0.02,0.0,0.0,0.0
886,0.0,0.06,0.07,0.08666666666666666,0.05333333333333333,0.01,0.01,0.02,0.04,0.01,0.02
887,0.0,0.0,0.09,0.01,0.04,0.02,0.0,0.01,0.0,0.0,0.0
888,0.018333333333333333,0.04,0.04333333333333333,0.184,0.0925,0.04,0.02,0.042,0.08,0.04,0.115
889,0.0,0.016666666666666666,0.11,0.0775,0.12333333333333334,0.09,0.01,0.03,0.01,0.01,0.02
890,0.01,0.05,0.05,0.08,0.01,0.01,0.0,0.0,0.0,0.59,0.01
891,0.03333333333333333,0.15833333333333333,0.22,0.11333333333333333,0.045,0.01,0.16,0.12,0.01,0.0,0.0
892,0.04,0.035,0.07,0.04166666666666667,0.12,0.09,0.0,0.04,0.0,0.03,0.01
893,0.0,0.02,0.01,0.03,0.14,0.18,0.0,0.01,0.0,0.0,0.0
894,0.0,0.0125,0.09,0.02,0.04333333333333333,0.03,0.0,0.03,0.03,0.02,0.03
895,0.004,0.02583333333333333,0.6166666666666667,0.2061785714285714,0.04666666666666666,0.0,0.0,0.03,0.0,0.01,0.0
896,0.02,0.08,0.05,0.20083333333333336,0.07,0.03,0.0,0.02,0.01,0.01,0.02
897,0.02,0.04,0.05266666666666667,0.10333333333333332,0.04,0.085,0.0,0.01,0.0,0.0,0.04
898,0.02,0.01,0.21,0.06333333333333332,0.025,0.06333333333333332,0.01,0.01,0.03,0.0,0.01
899,0.02,0.01,0.05,0.05,0.15,0.05,0.02,0.0125,0.0,0.01,0.02
900,0.0,0.0,0.1,0.02,0.04666666666666666,0.03,0.0,0.01,0.0,0.0,0.0
901,0.0,0.09,0.54,0.085,0.38,0.02,0.01,0.01,0.03,0.01,0.03
902,0.0,0.07,0.11,0.1,0.14,0.19,0.0,0.05,0.0,0.0,0.0
903,0.0,0.0,0.03,0.04,0.02,0.02,0.01,0.0,0.0,0.0,0.0
904,0.0,0.026666666666666665,0.07,0.03,0.05,0.04,0.0,0.0,0.05,0.0,0.0
905,0.005,0.03,0.47116666666666673,0.1825,0.0735,0.08,0.1121904761904762,0.04,0.02,0.0,0.0
906,0.0,0.015,0.04,0.115,0.05,0.08,0.01,0.02,0.0,0.01,0.0
907,0.01,0.05,0.09,0.092,0.07,0.04,0.01,0.02,0.0,0.0,0.005
908,0.015,0.145,0.05,0.7525,0.02,0.006666666666666666,0.01,0.065,0.0,0.01,0.05
909,0.02333333333333333,0.015714285714285715,0.04,0.04,0.03,0.02,0.0,0.013333333333333332,0.73,0.0,0.02
910,0.02333333333333333,0.03,0.115,0.01,0.06333333333333332,0.08,0.0,0.03,0.0,0.0,0.01
911,0.0,0.0,0.03,0.0,0.05,0.0,0.0,0.01,0.01,0.0,0.0
912,0.0,0.0,0.02,0.07,0.03,0.02,0.0,0.0,0.0,0.0,0.0
913,0.03,0.01,0.1,0.02,0.06,0.05,0.07,0.0,0.02,0.0,0.0
914,0.05,0.045,0.05333333333333333,0.02333333333333333,0.04833333333333334,0.03,0.01,0.04,0.01,0.01,0.03
915,0.01,0.01,0.04,0.05,0.08,0.07666666666666667,0.0,0.01,0.01,0.0,0.0
916,0.0,0.04666666666666666,0.09,0.07,0.145,0.01,0.01,0.01,0.01,0.01,0.0
917,0.0,0.025,0.07,0.0,0.02,0.0,0.01,0.02,0.33,0.0,0.0
918,0.03,0.04,0.05,0.042,0.16,0.06,0.01,0.02,0.0,0.0,0.03
919,0.01,0.03,0.09,0.06,0.03,0.02,0.0,0.02,0.0,0.06,0.01
920,0.0,0.065,0.23,0.09333333333333334,0.1,0.07,0.01,0.05,0.04,0.01,0.01
921,0.0,0.04,0.075,0.075,0.09,0.04,0.01,0.01,0.01,0.0,0.003333333333333333
922,0.0025,0.04,0.17535714285714285,0.084,0.05,0.02,0.015,0.06,0.03,0.0,0.04
923,0.0,0.02,0.03,0.01,0.02,0.02,0.01,0.0,0.81,0.0,0.04
924,0.0,0.0,0.135,0.05,0.0,0.01,0.02,0.025,0.02,0.0,0.02
925,0.0,0.04,0.07,0.135,0.07,0.05,0.0,0.01,0.01,0.01,0.04
926,0.01,0.03,0.02,0.1408333333333333,0.01,0.0,0.0,0.0,0.0,0.0,0.0
927,0.04,0.03666666666666667,0.11,0.11,0.08,0.065,0.01,0.035,0.01,0.01,0.045
